K,fold,baseline_SR,fuzzy_a5_SR,fuzzy_a5_delta,fuzzy_a10_SR,fuzzy_a10_delta,fuzzy_a20_SR,fuzzy_a20_delta,fuzzy_a50_SR,fuzzy_a50_delta,fuzzy_a100_SR,fuzzy_a100_delta,fuzzy_a50_dt0001_SR,fuzzy_a50_dt0001_delta
5,test,0.6188902888827018,0.2685804411004751,-0.35030984778222674,0.6100642660870031,-0.008826022795698663,0.6447155569381338,0.02582526805543195,0.5072322184036288,-0.11165807047907306,0.5390843240213217,-0.07980596486138014,0.5066569489326492,-0.11223333995005258
6,test,0.6257315730255494,0.2694051320340395,-0.3563264409915099,0.6093619473933011,-0.016369625632248308,0.6478964582896525,0.022164885264103096,0.6118333886051562,-0.013898184420393145,0.5744555565094921,-0.05127601651605729,0.6123879438991914,-0.013343629126358003
7,test,0.6390291203123595,0.2646537504100212,-0.3743753699023383,0.5958163533701678,-0.04321276694219167,0.6498614055534587,0.010832285241099249,0.7305432150967638,0.09151409478440431,0.724995686593505,0.08596656628114552,0.7273597667841396,0.08833064647178013
8,test,0.6427543666366888,0.2424695136559267,-0.4002848529807621,0.5903510194552024,-0.052403347181486426,0.6687670391104387,0.02601267247374983,0.7318339695275151,0.08907960289082628,0.6693297557653964,0.026575389128707605,0.6605556384111821,0.01780127177449331
9,test,0.6322132142523974,0.2097663451071048,-0.4224468691452926,0.582645885263174,-0.04956732898922345,0.6511733633324184,0.01896014908002097,0.7297859294500275,0.09757271519763011,0.6858359766261535,0.05362276237375607,0.72920490621242,0.09699169196002255
10,test,0.635346786842103,0.2338481797539907,-0.4014986070881123,0.5903805142891266,-0.04496627255297636,0.6228833662429638,-0.012463420599139186,0.735137323878146,0.09979053703604301,0.7391801600875587,0.10383337324545572,0.7321520865884239,0.0968052997463209
11,test,0.7221511027248452,0.212290595881667,-0.5098605068431782,0.5900486587778518,-0.13210244394699333,0.6190284020578,-0.10312270066704521,0.7328091926985872,0.010658089973742069,0.7397391504541516,0.017588047729306444,0.731664798876679,0.00951369615183384
12,test,0.7415495701882348,0.2220801299872671,-0.5194694402009676,0.5841323421755954,-0.15741722801263935,0.6194256802494646,-0.1221238899387701,0.7352517245476313,-0.006297845640603428,0.7406847948383556,-0.0008647753498791655,0.7376677394618478,-0.0038818307263869256
13,test,0.6772456615836152,0.2133523654594857,-0.46389329612412955,0.5766297191998796,-0.10061594238373561,0.621785637321423,-0.05546002426219221,0.7110045890350875,0.03375892745147224,0.7478578770390516,0.07061221545543639,0.7210602811491547,0.04381461956553945
14,test,0.7254120364833997,0.2165893817305789,-0.5088226547528207,0.5790537808403015,-0.14635825564309823,0.6233333594080399,-0.10207867707535978,0.7115520062545592,-0.013860030228840525,0.7482167855903219,0.022804749106922206,0.7096742784347765,-0.015737758048623207
15,test,0.7270440715316622,0.2171077628788944,-0.5099363086527677,0.5756464682007258,-0.15139760333093633,0.6181872901451896,-0.10885678138647259,0.7173329845385515,-0.00971108699311063,0.7476248334109085,0.02058076187924629,0.7158836661531788,-0.011160405378483396
16,test,0.7213234432377196,0.2143896842379293,-0.5069337589997902,0.5802866501891192,-0.1410367930486004,0.620139235264499,-0.10118420797322059,0.717246201271021,-0.004077241966698564,0.7393507113287937,0.018027268091074133,0.7156827859841792,-0.005640657253540349
17,test,0.700385288007161,0.219360194644354,-0.4810250933628071,0.5683878564503845,-0.13199743155677657,0.6219097795446105,-0.07847550846255058,0.7132843155151732,0.012899027508012195,0.7390301801356013,0.038644892128440245,0.7128464367690203,0.01246114876185922
18,test,0.7064498237631731,0.217546057199973,-0.4889037665632001,0.5775687748296049,-0.12888104893356822,0.62205521571447,-0.08439460804870313,0.7133257922610807,0.006875968497907614,0.7232145826576335,0.016764758894460385,0.7126956453503658,0.006245821587192668
