file,cv,i_l0,j_l2,py_rows,r_rows,rows_cmp,train_SR_max_abs_diff,valid_SR_max_abs_diff,test_SR_max_abs_diff,portsN_match_%,beta_max_abs_diff,status
results_cv_1_l0_8_l2_12.csv,cv_1,8,12,68,68,68,6.887601600169546e-12,2.2195023596793817e-12,3.6286529336848616e-12,100.0,4.4903303297871844e-11,OK
results_cv_1_l0_8_l2_13.csv,cv_1,8,13,68,68,68,7.771561172376096e-12,2.259720188746428e-12,4.107492124205692e-12,100.0,5.097611222026899e-11,OK
results_cv_1_l0_9_l2_1.csv,cv_1,9,1,48,48,48,5.872413666452303e-12,9.085510122019969e-13,1.7498225091117092e-12,100.0,2.0260300381824692e-11,OK
results_cv_1_l0_9_l2_2.csv,cv_1,9,2,50,50,50,6.59294840943403e-12,1.3717915692268434e-12,1.5120127372370007e-12,100.0,2.2330901017220128e-11,OK
results_cv_1_l0_9_l2_3.csv,cv_1,9,3,54,54,54,1.4319323504707882e-11,1.3326006964575754e-12,4.316436097440146e-12,96.29629629629629,6.056119494779466e-11,OK
results_cv_1_l0_9_l2_4.csv,cv_1,9,4,54,54,54,6.344591518825382e-12,1.120881165661558e-12,4.357514349351277e-12,100.0,2.6810331732463055e-11,OK
results_cv_1_l0_9_l2_5.csv,cv_1,9,5,60,60,60,6.261768881188345e-12,1.0619005674783466e-12,3.816058580241588e-12,100.0,2.9431096448817584e-11,OK
results_cv_1_l0_9_l2_6.csv,cv_1,9,6,62,62,62,7.020384273914715e-12,2.2691015733045106e-12,2.6262325647508078e-12,98.38709677419355,4.816749776814788e-11,OK
results_cv_1_l0_9_l2_7.csv,cv_1,9,7,60,60,60,9.307221660037612e-12,5.289407800646018e-12,1.8492984921181232e-12,100.0,8.81679000641622e-11,OK
results_cv_1_l0_9_l2_8.csv,cv_1,9,8,60,60,60,1.2006395877506293e-11,6.486200465616321e-12,1.5865087021893487e-12,98.33333333333333,5.856740092902157e-11,OK
results_cv_1_l0_9_l2_9.csv,cv_1,9,9,66,66,66,1.184963238642922e-11,6.45261621912141e-12,1.4942491688429982e-12,100.0,6.733957835791671e-11,OK
results_cv_1_l0_9_l2_10.csv,cv_1,9,10,68,68,68,9.46553946334916e-12,5.311195927504286e-12,1.4374057499821902e-12,98.52941176470588,4.68164118583303e-11,OK
results_cv_1_l0_9_l2_11.csv,cv_1,9,11,68,68,68,9.275025192323483e-12,5.194095153981948e-12,1.3774537066524317e-12,98.52941176470588,4.6419507127026804e-11,OK
results_cv_1_l0_9_l2_12.csv,cv_1,9,12,68,68,68,8.23074941536106e-12,3.777006485350398e-12,1.4584999874500681e-12,95.58823529411765,4.3209991140713555e-11,OK
results_cv_1_l0_9_l2_13.csv,cv_1,9,13,68,68,68,7.811751245867526e-12,3.653910507495084e-12,1.27631238910908e-12,100.0,4.224109950712318e-11,OK
results_cv_1_l0_10_l2_1.csv,cv_1,10,1,48,48,48,6.129097229745639e-12,8.789635685957364e-13,1.807887173299605e-12,97.91666666666666,3.031630502192684e-11,OK
results_cv_1_l0_10_l2_2.csv,cv_1,10,2,52,52,52,7.456146811080089e-12,3.136990667229611e-12,2.453592884421596e-12,100.0,3.351920130345576e-11,OK
results_cv_1_l0_10_l2_3.csv,cv_1,10,3,50,50,50,3.2742697442245117e-12,3.5732528047560663e-13,1.0836886943366153e-12,100.0,1.2790213332891653e-11,OK
results_cv_1_l0_10_l2_4.csv,cv_1,10,4,58,58,58,3.370193013552125e-12,8.835987497235465e-13,1.5654144647214707e-12,96.55172413793103,2.0004303769027842e-11,OK
results_cv_1_l0_10_l2_5.csv,cv_1,10,5,62,62,62,1.1553646928064154e-11,4.167582945413528e-12,4.609090886731337e-12,98.38709677419355,7.493380915768455e-11,OK
results_cv_1_l0_10_l2_6.csv,cv_1,10,6,62,62,62,8.499201342715423e-12,2.7459146068053997e-12,3.83026943495679e-12,100.0,5.6530308212288105e-11,OK
results_cv_1_l0_10_l2_7.csv,cv_1,10,7,60,60,60,5.9323657097820615e-12,1.8038903704109543e-12,2.968181256335356e-12,100.0,6.331207780263526e-11,OK
results_cv_1_l0_10_l2_8.csv,cv_1,10,8,58,58,58,5.159317417735565e-12,2.18941531571204e-12,2.628008921590208e-12,96.55172413793103,6.808759112075791e-11,OK
results_cv_1_l0_10_l2_9.csv,cv_1,10,9,58,58,58,4.897526828528953e-12,1.963901263835055e-12,2.426059353410892e-12,98.27586206896551,6.806860630703682e-11,OK
results_cv_1_l0_10_l2_10.csv,cv_1,10,10,58,58,58,4.771738559838923e-12,2.0993207172637085e-12,2.3131496718065137e-12,100.0,6.876926805787775e-11,OK
results_cv_1_l0_10_l2_11.csv,cv_1,10,11,58,58,58,4.8687720521911615e-12,2.3111235147865727e-12,2.33990604669998e-12,96.55172413793103,7.840089688571084e-11,OK
results_cv_1_l0_10_l2_12.csv,cv_1,10,12,58,58,58,4.976685730184727e-12,2.147004796171359e-12,2.3691049122476215e-12,96.55172413793103,7.203065921501661e-11,OK
results_cv_1_l0_10_l2_13.csv,cv_1,10,13,58,58,58,4.508615703002761e-12,2.1943002970203906e-12,2.138844656940364e-12,98.27586206896551,7.784350941619778e-11,OK
results_cv_1_l0_11_l2_1.csv,cv_1,11,1,48,48,48,3.693489958322971e-12,5.611067166455541e-13,1.6969758931395518e-12,100.0,1.9915000204484556e-11,OK
results_cv_1_l0_11_l2_2.csv,cv_1,11,2,50,50,50,5.367484234852782e-12,3.4314218133602026e-12,2.063460513568316e-12,100.0,2.1874807520916306e-11,OK
results_cv_1_l0_11_l2_3.csv,cv_1,11,3,50,50,50,4.757971794333571e-12,1.7758017278879379e-12,1.2490009027033011e-12,100.0,3.0024900968261825e-11,OK
results_cv_1_l0_11_l2_4.csv,cv_1,11,4,60,60,60,1.2579493002817799e-11,1.0753620216519266e-12,1.1611822614554512e-12,96.66666666666667,5.237960065684888e-11,OK
results_cv_1_l0_11_l2_5.csv,cv_1,11,5,58,58,58,9.817480162155334e-12,3.616579258292063e-12,6.753486658794827e-12,100.0,1.3427176037694721e-10,OK
results_cv_1_l0_11_l2_6.csv,cv_1,11,6,62,62,62,9.03876973268325e-12,3.1074032236233506e-12,4.709566070459914e-12,96.7741935483871,6.544909059158499e-11,OK
results_cv_1_l0_11_l2_7.csv,cv_1,11,7,62,62,62,1.0936362926372567e-11,4.820893684254202e-12,4.547584531167104e-12,100.0,1.5888823590159973e-10,OK
results_cv_1_l0_11_l2_8.csv,cv_1,11,8,60,60,60,7.866374218679084e-12,3.6956826487966055e-12,4.06064071256651e-12,100.0,1.338851252086215e-10,OK
results_cv_1_l0_11_l2_9.csv,cv_1,11,9,60,60,60,7.1559425052214465e-12,2.438493851286694e-12,3.862798969578307e-12,98.33333333333333,1.2001877269796069e-10,OK
results_cv_1_l0_11_l2_10.csv,cv_1,11,10,60,60,60,7.181477634787825e-12,2.654487740727518e-12,3.7941871866564725e-12,100.0,9.423117841578232e-11,OK
results_cv_1_l0_11_l2_11.csv,cv_1,11,11,62,62,62,7.316147687674857e-12,2.8036739596615234e-12,3.824496275228739e-12,100.0,1.3886714000932443e-10,OK
results_cv_1_l0_11_l2_12.csv,cv_1,11,12,62,62,62,7.086775610787299e-12,2.9694857683892906e-12,3.739453191542452e-12,100.0,1.3708578716631337e-10,OK
results_cv_1_l0_11_l2_13.csv,cv_1,11,13,62,62,62,6.666001084454365e-12,2.520317288201568e-12,3.5053071556490067e-12,98.38709677419355,1.4571477358060747e-10,OK
results_cv_1_l0_12_l2_1.csv,cv_1,12,1,48,48,48,4.200861880576667e-12,5.850875339774575e-13,2.026268042243373e-12,100.0,1.872230148691756e-11,OK
